Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country,Latitude,Longitude
Porsche,911,2022,3,379,331,4,"101,200",Jerman,46.5026049,13.8359023
Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Italia,42.6384261,12.674297
Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Italia,42.6384261,12.674297
Audi,R8,2022,5.2,562,406,3.2,"142,700",Jerman,46.5026049,13.8359023
McLaren,720S,2021,4,710,568,2.7,"298,000",Inggris,54.7023545,-3.2765753
BMW,M8,2022,4.4,617,553,3.1,"130,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Jerman,46.5026049,13.8359023
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",Amerika,54.6756129,17.4396446
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",Amerika,54.6756129,17.4396446
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Jepang,36.5748441,139.2394179
Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Italia,42.6384261,12.674297
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Jerman,46.5026049,13.8359023
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Italia,42.6384261,12.674297
Ariel,Atom,2021,2,320,243,2.8,"75,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"225,000",Inggris,54.7023545,-3.2765753
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Jerman,46.5026049,13.8359023
Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Italia,42.6384261,12.674297
Polestar,1,2021,2,600,738,4.1,"155,000",Tidak Diketahui,28.663346750418974, 121.40913118171484
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Kroasia,45.3658443,15.6575209
